"";"genome_id"
"15886";"470.1531"
"15902";"470.1535"
"15926";"470.1532"
"15950";"470.1529"
"15967";"470.1534"
"15989";"470.1530"
"16013";"470.1533"
"16032";"470.1528"
"16047";"470.1537"
"16065";"470.1538"
"16077";"470.1536"
"16092";"470.1539"
"16109";"470.1541"
"16128";"470.1540"
"16152";"470.1542"
"16173";"470.1543"
"16196";"470.1544"
"16217";"470.1557"
"16236";"470.1545"
"16259";"470.1546"
"16284";"470.1559"
"16305";"470.1547"
"16327";"470.1556"
"16348";"470.1555"
"16369";"470.1561"
"16392";"470.1562"
"16415";"470.1560"
"16438";"470.1565"
"16461";"470.1739"
"16471";"470.1558"
"16492";"470.1740"
"16509";"470.1563"
"16533";"470.1564"
"16557";"470.1769"
"16575";"470.1770"
"16604";"470.1771"
"16622";"470.1810"
"16649";"470.1808"
"16673";"470.1772"
"16696";"470.1825"
"16713";"470.1876"
"16730";"470.1879"
"16753";"470.1872"
"16776";"470.1870"
"16798";"470.1873"
"16821";"470.1871"
"16843";"470.1809"
"16866";"470.1875"
"16889";"470.1878"
"16912";"470.2142"
"16941";"470.1874"
"16964";"470.1880"
"16987";"470.1877"
"17010";"470.2143"
"17036";"470.2155"
"17059";"470.2156"
"17086";"470.2158"
"17106";"470.2161"
"17136";"470.2162"
"17163";"470.2159"
"17190";"470.2157"
"17213";"470.2166"
"17239";"470.2160"
"17270";"470.2163"
"17299";"470.2308"
"17322";"470.2310"
"17345";"470.2168"
"17370";"470.2167"
"17398";"470.2313"
"17421";"470.2165"
"17452";"470.2311"
"17472";"470.2216"
"17502";"470.2309"
"17520";"470.2312"
"17539";"470.2315"
"17559";"470.2314"
"17579";"470.2316"
"17602";"470.2324"
"17625";"470.2321"
"17649";"470.2323"
"17675";"470.2322"
"17698";"470.2320"
